benchmark,early,late,useless,filled,issued,requested
BC_74350M,899741,419917,635502,1535013,4247772,4247774
BellmanFord_94B,655853,3999,2527214,3183048,7107716,7107716
bf_94B,655895,3986,2527233,3183107,7107684,7107684
BFS_61B,1109641,61102,1799364,2908757,6754440,6761859
canneal_44B,43505,3904,1136825,1180323,2938785,2938785
Components_70B,607833,749,4971413,5579248,13179408,13182268
MIS_85B,747351,1190,3489560,4236896,10190950,10190950
pr_1B,447565,898,5446640,5894253,13555894,13559482
Radii_100B,448609,2252,3669438,4118045,9822094,9822094
sssp-5,323565,89108,1837427,2161070,5532177,5532177
tc_70B,99511,7118,1141422,1240937,3103178,3103178
