benchmark,early,late,useless,filled,issued,requested
BC_74350M,48457,10920,1850369,1901650,2069764,2069764
BellmanFord_94B,148315,684,2727015,2875420,1886311,1886320
bf_94B,148506,659,2727028,2875539,1886619,1886628
BFS_61B,170782,7264,2490286,2659978,2836945,2836945
canneal_44B,2264,7,1166730,1168934,74249,74249
Components_70B,326191,20,4343114,4669487,1535947,1535954
MIS_85B,290596,28,3007315,3298103,1863449,1863449
pr_1B,203603,131,5219228,5423197,1206440,1206445
Radii_100B,261463,10,3162454,3424070,1191531,1191537
sssp-5,44791,17078,1996627,2040970,890589,890791
tc_70B,40651,30,1080678,1121397,216199,216200
