benchmark,early,late,useless,filled,issued,requested
BC_74350M,1284961,43186,638571,1923302,4272598,4272600
BellmanFord_94B,656500,3023,2527576,3184061,7107326,7107326
bf_94B,656614,3030,2527065,3183658,7105842,7105842
BFS_61B,1149312,21779,1806808,2955873,6773086,6775975
canneal_44B,46049,1301,1136706,1182751,2938751,2938751
Components_70B,608085,528,4972709,5580792,13182862,13184794
MIS_85B,748341,378,3490150,4238474,10193458,10193458
pr_1B,447524,660,5449479,5897060,13544982,13546018
Radii_100B,448508,2023,3670145,4118647,9820984,9820984
sssp-5,344065,67158,1837103,2181246,5530591,5530591
tc_70B,105958,635,1141507,1247472,3103694,3103694
