benchmark,early,late,useless,filled,issued,requested
BC_74350M,53969,1671,1864822,1921687,3721698,3721698
BellmanFord_94B,148699,490,2727344,2876137,1892427,1892433
bf_94B,148740,483,2726820,2875543,1892757,1892763
BFS_61B,177341,1434,2494341,2670596,3022830,3022830
canneal_44B,2295,3,1166545,1168797,74427,74427
Components_70B,326365,16,4344367,4670894,1536727,1536734
MIS_85B,290714,19,3006920,3297851,1867582,1867582
pr_1B,203856,100,5221427,5425655,1205285,1205302
Radii_100B,261478,7,3162729,3424366,1191680,1191689
sssp-5,47343,11828,1991070,2037973,886812,886977
tc_70B,40657,10,1080641,1121375,216368,216369
