benchmarks,IPC
600.perlbench_s-570B,0.633086
602.gcc_s-1850B,0.201476
602.gcc_s-2226B,0.0975394
602.gcc_s-734B,0.311651
603.bwaves_s-1740B,0.581989
603.bwaves_s-2609B,0.583918
603.bwaves_s-2931B,0.762591
603.bwaves_s-891B,0.383762
605.mcf_s-1152B,0.225656
605.mcf_s-1536B,0.27598
605.mcf_s-1554B,0.138195
605.mcf_s-1644B,0.143831
605.mcf_s-472B,0.221234
605.mcf_s-484B,0.281987
605.mcf_s-665B,0.239493
605.mcf_s-782B,0.144457
605.mcf_s-994B,0.202242
607.cactuBSSN_s-2421B,0.836959
607.cactuBSSN_s-3477B,0.84048
607.cactuBSSN_s-4004B,0.859372
619.lbm_s-2676B,0.489701
619.lbm_s-2677B,0.434306
619.lbm_s-3766B,0.793281
619.lbm_s-4268B,0.433296
620.omnetpp_s-141B,0.201659
620.omnetpp_s-874B,0.2151
621.wrf_s-6673B,0.489629
621.wrf_s-8065B,0.856485
623.xalancbmk_s-10B,0.23342
623.xalancbmk_s-165B,0.401364
623.xalancbmk_s-202B,0.325725
628.pop2_s-17B,0.737998
641.leela_s-1083B,0.332015
649.fotonik3d_s-10881B,0.465673
649.fotonik3d_s-1176B,0.584253
649.fotonik3d_s-7084B,0.584007
649.fotonik3d_s-8225B,0.582089
654.roms_s-1007B,0.439699
654.roms_s-1070B,0.46318
654.roms_s-1390B,0.343031
654.roms_s-1613B,0.489631
654.roms_s-293B,0.871132
654.roms_s-294B,0.743004
654.roms_s-523B,0.436429
657.xz_s-2302B,0.509543
