Benchmarks,Accuracy
600.perlbench_s-570B,29.7889
602.gcc_s-1850B,77.3443
602.gcc_s-2226B,29.5822
602.gcc_s-734B,86.1808
603.bwaves_s-1740B,25.7397
603.bwaves_s-2609B,25.3
603.bwaves_s-2931B,94.4014
603.bwaves_s-891B,92.4997
605.mcf_s-1152B,24.0856
605.mcf_s-1536B,3.55989
605.mcf_s-1554B,34.6777
605.mcf_s-1644B,43.934
605.mcf_s-472B,24.6072
605.mcf_s-484B,25.522
605.mcf_s-665B,25.1191
605.mcf_s-782B,21.3608
605.mcf_s-994B,12.1519
607.cactuBSSN_s-2421B,1.02106
607.cactuBSSN_s-3477B,19.8651
607.cactuBSSN_s-4004B,24.1767
619.lbm_s-2676B,85.1675
619.lbm_s-2677B,84.4291
619.lbm_s-3766B,89.9116
619.lbm_s-4268B,84.3885
620.omnetpp_s-141B,12.9901
620.omnetpp_s-874B,13.2202
621.wrf_s-6673B,52.1803
621.wrf_s-8065B,60.1239
623.xalancbmk_s-10B,15.4172
623.xalancbmk_s-165B,81.3293
623.xalancbmk_s-202B,82.9773
628.pop2_s-17B,62.6101
641.leela_s-1083B,56.8053
649.fotonik3d_s-10881B,57.3887
649.fotonik3d_s-1176B,74.9973
649.fotonik3d_s-7084B,19.3853
649.fotonik3d_s-8225B,75.0562
654.roms_s-1007B,40.5119
654.roms_s-1070B,47.2936
654.roms_s-1390B,57.5226
654.roms_s-1613B,76.1026
654.roms_s-293B,81.6678
654.roms_s-294B,88.7457
654.roms_s-523B,60.7102
657.xz_s-2302B,11.8591
