Benchmarks,Accuracy
600.perlbench_s-570B,5.24652
602.gcc_s-1850B,0.75285
602.gcc_s-2226B,0.224164
602.gcc_s-734B,1.13018
603.bwaves_s-1740B,2.39068
603.bwaves_s-2609B,2.36394
603.bwaves_s-2931B,6.93701
603.bwaves_s-891B,0.000175388
605.mcf_s-1152B,5.38957
605.mcf_s-1536B,3.99209
605.mcf_s-1554B,0.128667
605.mcf_s-1644B,2.49379
605.mcf_s-472B,0.690254
605.mcf_s-484B,1.81359
605.mcf_s-665B,7.81394
605.mcf_s-782B,3.23325
605.mcf_s-994B,1.77979
607.cactuBSSN_s-2421B,97.2357
607.cactuBSSN_s-3477B,99.5713
607.cactuBSSN_s-4004B,99.5659
619.lbm_s-2676B,12.0037
619.lbm_s-2677B,12.6292
619.lbm_s-3766B,6.92579
619.lbm_s-4268B,12.8535
620.omnetpp_s-141B,5.47417
620.omnetpp_s-874B,6.78001
621.wrf_s-6673B,6.1067
621.wrf_s-8065B,8.12897
623.xalancbmk_s-10B,1.07444
623.xalancbmk_s-165B,0.160913
623.xalancbmk_s-202B,0.142305
628.pop2_s-17B,7.53202
641.leela_s-1083B,12.7939
649.fotonik3d_s-10881B,0.0393776
649.fotonik3d_s-1176B,0.413518
649.fotonik3d_s-7084B,0.233735
649.fotonik3d_s-8225B,0.441677
654.roms_s-1007B,7.64513
654.roms_s-1070B,1.8104
654.roms_s-1390B,7.0011
654.roms_s-1613B,0.241617
654.roms_s-293B,6.42884
654.roms_s-294B,4.70381
654.roms_s-523B,2.51515
657.xz_s-2302B,8.60277
