benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,1171,169,2552,3762,164256,164256
602.gcc_s-1850B,1006377,72055,222366,1228747,7205856,7205872
602.gcc_s-2226B,1101418,2314942,305901,1407347,9943815,9944030
602.gcc_s-734B,766895,1117,120278,887214,2462658,2462774
603.bwaves_s-1740B,886284,41345,3569,889834,29970862,46706708
603.bwaves_s-2609B,886739,41137,3353,890087,30080292,46769926
603.bwaves_s-2931B,428687,2278,1680,430359,3226083,4229525
603.bwaves_s-891B,1054799,85511,24,1054806,2382636,2382657
605.mcf_s-1152B,625336,159730,1811036,2436346,8811540,8812236
605.mcf_s-1536B,91132,9176,2459664,2550775,6348074,6348074
605.mcf_s-1554B,3273965,1867177,4299822,7573780,35611751,43204518
605.mcf_s-1644B,999120,179164,1095849,2094974,5275932,5275932
605.mcf_s-472B,678591,673110,1404238,2082831,13405312,13412451
605.mcf_s-484B,316089,221954,698215,1014179,12453288,12453499
605.mcf_s-665B,490933,80844,1382267,1873168,7527248,7528033
605.mcf_s-782B,1537852,801243,4860296,6398158,16681602,16684432
605.mcf_s-994B,214281,197579,1351179,1565528,7486970,7487026
607.cactuBSSN_s-2421B,2998,3,22929,25977,58160,58174
607.cactuBSSN_s-3477B,1855,0,4778,6634,13506,13506
607.cactuBSSN_s-4004B,2107,0,3707,5812,11636,11636
619.lbm_s-2676B,325162,56524,0,325156,1045530,1064931
619.lbm_s-2677B,365292,67228,0,365291,1210921,1234934
619.lbm_s-3766B,211526,23740,0,211520,563280,568716
619.lbm_s-4268B,364083,67163,0,364076,1211594,1236583
620.omnetpp_s-141B,103081,16744,671175,774220,4359379,4359380
620.omnetpp_s-874B,106990,17980,681812,788855,4500646,4500650
621.wrf_s-6673B,888923,88756,127883,1016802,13049061,15577244
621.wrf_s-8065B,452791,21813,138072,590887,5870005,6484718
623.xalancbmk_s-10B,178068,88296,887997,1066207,3648062,3648078
623.xalancbmk_s-165B,821628,95133,92560,914191,3571321,3576566
623.xalancbmk_s-202B,1094572,116337,108163,1202727,3692934,3695580
628.pop2_s-17B,668140,17696,200065,868200,9973962,10594505
641.leela_s-1083B,55300,3397,38714,93934,2065830,2065836
649.fotonik3d_s-10881B,667334,31078,464446,1131751,5317466,5322447
649.fotonik3d_s-1176B,485274,158228,3070,488342,1319752,1319752
649.fotonik3d_s-7084B,785791,16695,57444,843201,11974602,12782869
649.fotonik3d_s-8225B,485368,158180,2906,488268,1318876,1318876
654.roms_s-1007B,232951,28076,15452,248402,3887011,4088637
654.roms_s-1070B,647501,56278,35077,682573,4539778,5000676
654.roms_s-1390B,937868,170790,65352,1003220,5714904,7357223
654.roms_s-1613B,103702,23491,9082,112771,2528538,2529091
654.roms_s-293B,332883,7728,12889,345789,2810882,2903931
654.roms_s-294B,592493,5723,55266,647771,9039016,9825338
654.roms_s-523B,763696,123329,52163,815846,4570842,5046596
657.xz_s-2302B,45029,996,333675,378699,2564777,2564777
