benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,165,9,897,3166,1828,1828
602.gcc_s-1850B,6422,877,903866,910304,3148520,3148622
602.gcc_s-2226B,7782,4515,3625524,3633307,4265018,4265119
602.gcc_s-734B,5219,117,455900,461675,3820233,3822495
603.bwaves_s-1740B,29995,10935,864868,894516,2985328,3503284
603.bwaves_s-2609B,29725,11158,864972,894377,2977798,3504863
603.bwaves_s-2931B,46924,2691,374887,422832,1754153,1772637
603.bwaves_s-891B,3,0,1140352,1140371,1970182,2137439
605.mcf_s-1152B,110033,8264,1956082,2066371,1157378,1157442
605.mcf_s-1536B,62903,0,1724454,1787023,0,0
605.mcf_s-1554B,12137,605,9376550,9387131,166069,166069
605.mcf_s-1644B,50200,6411,1982652,2032909,1941732,1941732
605.mcf_s-472B,17827,738,2546340,2564291,839088,839088
605.mcf_s-484B,18895,217,1014666,1034165,341575,341575
605.mcf_s-665B,102825,4564,1220494,1323600,863928,863928
605.mcf_s-782B,211610,49288,6528990,6740463,4052988,4052988
605.mcf_s-994B,24010,5,1243542,1267165,305797,305810
607.cactuBSSN_s-2421B,220274,54,6087,226428,2464401,2529457
607.cactuBSSN_s-3477B,183095,2,771,183889,2297550,2334804
607.cactuBSSN_s-4004B,181255,0,754,182036,2288079,2320580
619.lbm_s-2676B,53134,15818,382205,435126,643126,643130
619.lbm_s-2677B,64706,22157,432675,497284,753812,753816
619.lbm_s-3766B,17641,973,235174,252493,343281,343281
619.lbm_s-4268B,65141,21952,432781,497803,752218,752234
620.omnetpp_s-141B,32616,2302,567612,600264,95120,95120
620.omnetpp_s-874B,41785,1590,575208,617064,85670,85670
621.wrf_s-6673B,59897,11856,879862,938780,3592418,3820416
621.wrf_s-8065B,36760,1946,403342,440566,1894086,2073289
623.xalancbmk_s-10B,11489,954,1079021,1091254,40186,40186
623.xalancbmk_s-165B,1785,641,1004330,1006131,1461665,1462451
623.xalancbmk_s-202B,1854,15,1282565,1284515,1384264,1384276
628.pop2_s-17B,34795,1713,409758,444326,3882520,4015131
641.leela_s-1083B,591,7,1860,4701,103559,103559
649.fotonik3d_s-10881B,454,0,1150257,1150635,1700,1700
649.fotonik3d_s-1176B,1476,950,429822,430693,1816368,1816547
649.fotonik3d_s-7084B,5376,1195,850293,855589,3012273,3518775
649.fotonik3d_s-8225B,1632,993,438179,439573,1810148,1810185
654.roms_s-1007B,26375,3039,284940,311783,957585,1019972
654.roms_s-1070B,20023,7069,756637,776622,2200900,2344030
654.roms_s-1390B,87564,7290,1094700,1181874,3615769,3734206
654.roms_s-1613B,377,606,140956,142095,321118,321127
654.roms_s-293B,27052,552,258744,285394,1542092,1558894
654.roms_s-294B,30229,7392,669970,699904,2368270,2464080
654.roms_s-523B,30672,4635,970978,1001589,2434836,2490265
657.xz_s-2302B,17677,13,188605,206387,6040,6040
