benchmarks,IPC
600.perlbench_s-570B,0.634349
602.gcc_s-1850B,0.328799
602.gcc_s-2226B,0.378021
602.gcc_s-734B,0.40097
603.bwaves_s-1740B,0.954102
603.bwaves_s-2609B,0.954115
603.bwaves_s-2931B,1.13863
603.bwaves_s-891B,0.648573
605.mcf_s-1152B,0.243697
605.mcf_s-1536B,0.271685
605.mcf_s-1554B,0.20661
605.mcf_s-1644B,0.137589
605.mcf_s-472B,0.286953
605.mcf_s-484B,0.359011
605.mcf_s-665B,0.254012
605.mcf_s-782B,0.164961
605.mcf_s-994B,0.20208
607.cactuBSSN_s-2421B,0.906998
607.cactuBSSN_s-3477B,0.895436
607.cactuBSSN_s-4004B,0.916525
619.lbm_s-2676B,0.466245
619.lbm_s-2677B,0.401685
619.lbm_s-3766B,0.880441
619.lbm_s-4268B,0.400723
620.omnetpp_s-141B,0.201654
620.omnetpp_s-874B,0.214898
621.wrf_s-6673B,0.79594
621.wrf_s-8065B,0.931706
623.xalancbmk_s-10B,0.254586
623.xalancbmk_s-165B,0.649831
623.xalancbmk_s-202B,0.588142
628.pop2_s-17B,0.787293
641.leela_s-1083B,0.333384
649.fotonik3d_s-10881B,0.590633
649.fotonik3d_s-1176B,1.00183
649.fotonik3d_s-7084B,0.977646
649.fotonik3d_s-8225B,1.00173
654.roms_s-1007B,0.545544
654.roms_s-1070B,0.843592
654.roms_s-1390B,0.660538
654.roms_s-1613B,0.567773
654.roms_s-293B,1.02863
654.roms_s-294B,1.04118
654.roms_s-523B,0.822662
657.xz_s-2302B,0.506432
