600.perlbench_s-570B USEFUL LOAD PREFETCHES:       1275 PREFETCH ISSUED TO LOWER LEVEL:       3933  ACCURACY: 32.418
602.gcc_s-1850B USEFUL LOAD PREFETCHES:    1071822 PREFETCH ISSUED TO LOWER LEVEL:    1301805  ACCURACY: 82.3335
602.gcc_s-2226B USEFUL LOAD PREFETCHES:    3386653 PREFETCH ISSUED TO LOWER LEVEL:    3725377  ACCURACY: 90.9077
602.gcc_s-734B USEFUL LOAD PREFETCHES:     767741 PREFETCH ISSUED TO LOWER LEVEL:     890445  ACCURACY: 86.2199
603.bwaves_s-1740B USEFUL LOAD PREFETCHES:     925306 PREFETCH ISSUED TO LOWER LEVEL:     977471  ACCURACY: 94.6633
603.bwaves_s-2609B USEFUL LOAD PREFETCHES:     925621 PREFETCH ISSUED TO LOWER LEVEL:     979591  ACCURACY: 94.4906
603.bwaves_s-2931B USEFUL LOAD PREFETCHES:     498934 PREFETCH ISSUED TO LOWER LEVEL:     509207  ACCURACY: 97.9825
603.bwaves_s-891B USEFUL LOAD PREFETCHES:    1136496 PREFETCH ISSUED TO LOWER LEVEL:    1140338  ACCURACY: 99.6631
605.mcf_s-1152B USEFUL LOAD PREFETCHES:     658287 PREFETCH ISSUED TO LOWER LEVEL:    2596707  ACCURACY: 25.3508
605.mcf_s-1536B USEFUL LOAD PREFETCHES:      94563 PREFETCH ISSUED TO LOWER LEVEL:    2476105  ACCURACY: 3.81902
605.mcf_s-1554B USEFUL LOAD PREFETCHES:    4065667 PREFETCH ISSUED TO LOWER LEVEL:   10342617  ACCURACY: 39.3098
605.mcf_s-1644B USEFUL LOAD PREFETCHES:    1119185 PREFETCH ISSUED TO LOWER LEVEL:    2278520  ACCURACY: 49.1189
605.mcf_s-472B USEFUL LOAD PREFETCHES:     748424 PREFETCH ISSUED TO LOWER LEVEL:    2766702  ACCURACY: 27.0511
605.mcf_s-484B USEFUL LOAD PREFETCHES:     352651 PREFETCH ISSUED TO LOWER LEVEL:    1239293  ACCURACY: 28.4558
605.mcf_s-665B USEFUL LOAD PREFETCHES:     504861 PREFETCH ISSUED TO LOWER LEVEL:    1954864  ACCURACY: 25.8259
605.mcf_s-782B USEFUL LOAD PREFETCHES:    1644446 PREFETCH ISSUED TO LOWER LEVEL:    7202518  ACCURACY: 22.8315
605.mcf_s-994B USEFUL LOAD PREFETCHES:     238553 PREFETCH ISSUED TO LOWER LEVEL:    1763256  ACCURACY: 13.5291
607.cactuBSSN_s-2421B USEFUL LOAD PREFETCHES:       2376 PREFETCH ISSUED TO LOWER LEVEL:      26979  ACCURACY: 8.80685
607.cactuBSSN_s-3477B USEFUL LOAD PREFETCHES:       1839 PREFETCH ISSUED TO LOWER LEVEL:       9493  ACCURACY: 19.3722
607.cactuBSSN_s-4004B USEFUL LOAD PREFETCHES:       2131 PREFETCH ISSUED TO LOWER LEVEL:       8830  ACCURACY: 24.1336
619.lbm_s-2676B USEFUL LOAD PREFETCHES:     357107 PREFETCH ISSUED TO LOWER LEVEL:     384274  ACCURACY: 92.9303
619.lbm_s-2677B USEFUL LOAD PREFETCHES:     391290 PREFETCH ISSUED TO LOWER LEVEL:     428849  ACCURACY: 91.2419
619.lbm_s-3766B USEFUL LOAD PREFETCHES:     259369 PREFETCH ISSUED TO LOWER LEVEL:     260620  ACCURACY: 99.52
619.lbm_s-4268B USEFUL LOAD PREFETCHES:     391242 PREFETCH ISSUED TO LOWER LEVEL:     429128  ACCURACY: 91.1714
620.omnetpp_s-141B USEFUL LOAD PREFETCHES:     108809 PREFETCH ISSUED TO LOWER LEVEL:     794276  ACCURACY: 13.6991
620.omnetpp_s-874B USEFUL LOAD PREFETCHES:     112191 PREFETCH ISSUED TO LOWER LEVEL:     809275  ACCURACY: 13.8631
621.wrf_s-6673B USEFUL LOAD PREFETCHES:     974017 PREFETCH ISSUED TO LOWER LEVEL:    1247182  ACCURACY: 78.0974
621.wrf_s-8065B USEFUL LOAD PREFETCHES:     483482 PREFETCH ISSUED TO LOWER LEVEL:     727926  ACCURACY: 66.4191
623.xalancbmk_s-10B USEFUL LOAD PREFETCHES:     205749 PREFETCH ISSUED TO LOWER LEVEL:    1145689  ACCURACY: 17.9585
623.xalancbmk_s-165B USEFUL LOAD PREFETCHES:     902813 PREFETCH ISSUED TO LOWER LEVEL:    1019333  ACCURACY: 88.569
623.xalancbmk_s-202B USEFUL LOAD PREFETCHES:    1197203 PREFETCH ISSUED TO LOWER LEVEL:    1319251  ACCURACY: 90.7487
628.pop2_s-17B USEFUL LOAD PREFETCHES:     684266 PREFETCH ISSUED TO LOWER LEVEL:     926382  ACCURACY: 73.8643
641.leela_s-1083B USEFUL LOAD PREFETCHES:      56715 PREFETCH ISSUED TO LOWER LEVEL:      97242  ACCURACY: 58.3236
649.fotonik3d_s-10881B USEFUL LOAD PREFETCHES:     682327 PREFETCH ISSUED TO LOWER LEVEL:    1167629  ACCURACY: 58.437
649.fotonik3d_s-1176B USEFUL LOAD PREFETCHES:     639767 PREFETCH ISSUED TO LOWER LEVEL:     647413  ACCURACY: 98.819
649.fotonik3d_s-7084B USEFUL LOAD PREFETCHES:     804315 PREFETCH ISSUED TO LOWER LEVEL:     864003  ACCURACY: 93.0917
649.fotonik3d_s-8225B USEFUL LOAD PREFETCHES:     639795 PREFETCH ISSUED TO LOWER LEVEL:     647044  ACCURACY: 98.8797
654.roms_s-1007B USEFUL LOAD PREFETCHES:     284892 PREFETCH ISSUED TO LOWER LEVEL:     305524  ACCURACY: 93.247
654.roms_s-1070B USEFUL LOAD PREFETCHES:     708544 PREFETCH ISSUED TO LOWER LEVEL:     756035  ACCURACY: 93.7184
654.roms_s-1390B USEFUL LOAD PREFETCHES:    1168097 PREFETCH ISSUED TO LOWER LEVEL:    1295480  ACCURACY: 90.1671
654.roms_s-1613B USEFUL LOAD PREFETCHES:     125081 PREFETCH ISSUED TO LOWER LEVEL:     136555  ACCURACY: 91.5975
