Benchmarks,Accuracy
600.perlbench_s-570B,32.418
602.gcc_s-1850B,82.3335
602.gcc_s-2226B,90.9077
602.gcc_s-734B,86.2199
603.bwaves_s-1740B,94.6633
603.bwaves_s-2609B,94.4906
603.bwaves_s-2931B,97.9825
603.bwaves_s-891B,99.6631
605.mcf_s-1152B,25.3508
605.mcf_s-1536B,3.81902
605.mcf_s-1554B,39.3098
605.mcf_s-1644B,49.1189
605.mcf_s-472B,27.0511
605.mcf_s-484B,28.4558
605.mcf_s-665B,25.8259
605.mcf_s-782B,22.8315
605.mcf_s-994B,13.5291
607.cactuBSSN_s-2421B,8.80685
607.cactuBSSN_s-3477B,19.3722
607.cactuBSSN_s-4004B,24.1336
619.lbm_s-2676B,92.9303
619.lbm_s-2677B,91.2419
619.lbm_s-3766B,99.52
619.lbm_s-4268B,91.1714
620.omnetpp_s-141B,13.6991
620.omnetpp_s-874B,13.8631
621.wrf_s-6673B,78.0974
621.wrf_s-8065B,66.4191
623.xalancbmk_s-10B,17.9585
623.xalancbmk_s-165B,88.569
623.xalancbmk_s-202B,90.7487
628.pop2_s-17B,73.8643
641.leela_s-1083B,58.3236
649.fotonik3d_s-10881B,58.437
649.fotonik3d_s-1176B,98.819
649.fotonik3d_s-7084B,93.0917
649.fotonik3d_s-8225B,98.8797
654.roms_s-1007B,93.247
654.roms_s-1070B,93.7184
654.roms_s-1390B,90.1671
654.roms_s-1613B,91.5975
654.roms_s-293B,95.989
654.roms_s-294B,90.0125
654.roms_s-523B,93.0429
657.xz_s-2302B,11.9169
