Benchmarks,Accuracy
600.perlbench_s-570B,3.31403
602.gcc_s-1850B,0.804167
602.gcc_s-2226B,0.339661
602.gcc_s-734B,1.13823
603.bwaves_s-1740B,2.91743
603.bwaves_s-2609B,2.88736
603.bwaves_s-2931B,3.9999
603.bwaves_s-891B,0
605.mcf_s-1152B,5.52213
605.mcf_s-1536B,4.53449
605.mcf_s-1554B,0.110714
605.mcf_s-1644B,2.68466
605.mcf_s-472B,0.670593
605.mcf_s-484B,1.82433
605.mcf_s-665B,7.90773
605.mcf_s-782B,3.46949
605.mcf_s-994B,1.79457
607.cactuBSSN_s-2421B,96.8575
607.cactuBSSN_s-3477B,99.5554
607.cactuBSSN_s-4004B,99.5656
619.lbm_s-2676B,14.2477
619.lbm_s-2677B,16.042
619.lbm_s-3766B,0.32876
619.lbm_s-4268B,15.9637
620.omnetpp_s-141B,5.64428
620.omnetpp_s-874B,6.88278
621.wrf_s-6673B,4.81417
621.wrf_s-8065B,5.73575
623.xalancbmk_s-10B,1.08461
623.xalancbmk_s-165B,0.197093
623.xalancbmk_s-202B,0.150363
628.pop2_s-17B,7.19881
641.leela_s-1083B,12.8767
649.fotonik3d_s-10881B,0.0405967
649.fotonik3d_s-1176B,0.536615
649.fotonik3d_s-7084B,0.0670556
649.fotonik3d_s-8225B,0.572992
654.roms_s-1007B,0.0701251
654.roms_s-1070B,0.378634
654.roms_s-1390B,1.42725
654.roms_s-1613B,0.136361
654.roms_s-293B,0.331037
654.roms_s-294B,4.66426
654.roms_s-523B,0.095171
657.xz_s-2302B,8.60259
