benchmarks,IPC
600.perlbench_s-570B,0.634318
602.gcc_s-1850B,0.328949
602.gcc_s-2226B,0.383838
602.gcc_s-734B,0.401301
603.bwaves_s-1740B,0.960217
603.bwaves_s-2609B,0.960199
603.bwaves_s-2931B,1.14066
603.bwaves_s-891B,0.652008
605.mcf_s-1152B,0.245183
605.mcf_s-1536B,0.276254
605.mcf_s-1554B,0.281492
605.mcf_s-1644B,0.152802
605.mcf_s-472B,0.313379
605.mcf_s-484B,0.371144
605.mcf_s-665B,0.255226
605.mcf_s-782B,0.168736
605.mcf_s-994B,0.203004
607.cactuBSSN_s-2421B,0.908984
607.cactuBSSN_s-3477B,0.896269
607.cactuBSSN_s-4004B,0.917418
619.lbm_s-2676B,0.59457
619.lbm_s-2677B,0.51966
619.lbm_s-3766B,0.989458
619.lbm_s-4268B,0.518235
620.omnetpp_s-141B,0.202078
620.omnetpp_s-874B,0.215344
621.wrf_s-6673B,0.856067
621.wrf_s-8065B,0.959859
623.xalancbmk_s-10B,0.258517
623.xalancbmk_s-165B,0.659991
623.xalancbmk_s-202B,0.596324
628.pop2_s-17B,0.788135
641.leela_s-1083B,0.333386
649.fotonik3d_s-10881B,0.610613
649.fotonik3d_s-1176B,1.00194
649.fotonik3d_s-7084B,0.983757
649.fotonik3d_s-8225B,1.00189
654.roms_s-1007B,0.550788
654.roms_s-1070B,0.888055
654.roms_s-1390B,0.745433
654.roms_s-1613B,0.571181
654.roms_s-293B,1.03223
654.roms_s-294B,1.0448
654.roms_s-523B,0.855487
657.xz_s-2302B,0.506862
