Benchmarks,IPC
600.perlbench_s-570B,0.634261
602.gcc_s-1850B,0.328769
602.gcc_s-2226B,0.383282
602.gcc_s-734B,0.400997
603.bwaves_s-1740B,0.757902
603.bwaves_s-2609B,0.759601
603.bwaves_s-2931B,1.1094
603.bwaves_s-891B,0.650209
605.mcf_s-1152B,0.242972
605.mcf_s-1536B,0.277639
605.mcf_s-1554B,0.279886
605.mcf_s-1644B,0.152813
605.mcf_s-472B,0.31296
605.mcf_s-484B,0.370358
605.mcf_s-665B,0.253013
605.mcf_s-782B,0.167976
605.mcf_s-994B,0.202768
607.cactuBSSN_s-2421B,0.90424
607.cactuBSSN_s-3477B,0.891469
607.cactuBSSN_s-4004B,0.912038
619.lbm_s-2676B,0.57892
619.lbm_s-2677B,0.505208
619.lbm_s-3766B,0.988895
619.lbm_s-4268B,0.504592
620.omnetpp_s-141B,0.202058
620.omnetpp_s-874B,0.215327
621.wrf_s-6673B,0.830444
621.wrf_s-8065B,0.965038
623.xalancbmk_s-10B,0.258206
623.xalancbmk_s-165B,0.655331
623.xalancbmk_s-202B,0.582912
628.pop2_s-17B,0.786662
641.leela_s-1083B,0.333281
649.fotonik3d_s-10881B,0.617707
649.fotonik3d_s-1176B,1.00194
649.fotonik3d_s-7084B,0.966715
649.fotonik3d_s-8225B,1.00187
654.roms_s-1007B,0.550826
654.roms_s-1070B,0.876431
654.roms_s-1390B,0.708024
654.roms_s-1613B,0.571172
654.roms_s-293B,1.03146
654.roms_s-294B,1.04472
654.roms_s-523B,0.847762
657.xz_s-2302B,0.506708
