Benchmarks,IPC
600.perlbench_s-570B,0.634305
602.gcc_s-1850B,0.328937
602.gcc_s-2226B,0.383981
602.gcc_s-734B,0.401292
603.bwaves_s-1740B,0.960241
603.bwaves_s-2609B,0.960309
603.bwaves_s-2931B,1.14046
603.bwaves_s-891B,0.651981
605.mcf_s-1152B,0.244703
605.mcf_s-1536B,0.276779
605.mcf_s-1554B,0.280383
605.mcf_s-1644B,0.15274
605.mcf_s-472B,0.313785
605.mcf_s-484B,0.371316
605.mcf_s-665B,0.254856
605.mcf_s-782B,0.16863
605.mcf_s-994B,0.202984
607.cactuBSSN_s-2421B,0.907604
607.cactuBSSN_s-3477B,0.89501
607.cactuBSSN_s-4004B,0.915773
619.lbm_s-2676B,0.594362
619.lbm_s-2677B,0.519595
619.lbm_s-3766B,0.98968
619.lbm_s-4268B,0.51814
620.omnetpp_s-141B,0.202211
620.omnetpp_s-874B,0.215452
621.wrf_s-6673B,0.855868
621.wrf_s-8065B,0.957538
623.xalancbmk_s-10B,0.258572
623.xalancbmk_s-165B,0.660236
623.xalancbmk_s-202B,0.596312
628.pop2_s-17B,0.787299
641.leela_s-1083B,0.333367
649.fotonik3d_s-10881B,0.610665
649.fotonik3d_s-1176B,1.00194
649.fotonik3d_s-7084B,0.983827
649.fotonik3d_s-8225B,1.00189
654.roms_s-1007B,0.550762
654.roms_s-1070B,0.887696
654.roms_s-1390B,0.745506
654.roms_s-1613B,0.571159
654.roms_s-293B,1.03222
654.roms_s-294B,1.04467
654.roms_s-523B,0.855726
657.xz_s-2302B,0.506901
