Benchmarks,IPC
600.perlbench_s-570B,0.634315
602.gcc_s-1850B,0.328951
602.gcc_s-2226B,0.383981
602.gcc_s-734B,0.401345
603.bwaves_s-1740B,0.960164
603.bwaves_s-2609B,0.960113
603.bwaves_s-2931B,1.14068
603.bwaves_s-891B,0.65199
605.mcf_s-1152B,0.258685
605.mcf_s-1536B,0.303611
605.mcf_s-1554B,0.292267
605.mcf_s-1644B,0.153057
605.mcf_s-472B,0.316305
605.mcf_s-484B,0.371124
605.mcf_s-665B,0.255036
605.mcf_s-782B,0.185021
605.mcf_s-994B,0.202947
607.cactuBSSN_s-2421B,0.908238
607.cactuBSSN_s-3477B,0.895591
607.cactuBSSN_s-4004B,0.916933
619.lbm_s-2676B,0.593627
619.lbm_s-2677B,0.519134
619.lbm_s-3766B,0.98927
619.lbm_s-4268B,0.51744
620.omnetpp_s-141B,0.202242
620.omnetpp_s-874B,0.215551
621.wrf_s-6673B,0.855723
621.wrf_s-8065B,0.959929
623.xalancbmk_s-10B,0.26575
623.xalancbmk_s-165B,0.66844
623.xalancbmk_s-202B,0.596347
628.pop2_s-17B,0.788844
641.leela_s-1083B,0.333388
649.fotonik3d_s-10881B,0.610647
649.fotonik3d_s-1176B,1.00196
649.fotonik3d_s-7084B,0.983775
649.fotonik3d_s-8225B,1.00198
654.roms_s-1007B,0.550774
654.roms_s-1070B,0.888072
654.roms_s-1390B,0.745442
654.roms_s-1613B,0.571172
654.roms_s-293B,1.03216
654.roms_s-294B,1.04618
654.roms_s-523B,0.855361
657.xz_s-2302B,0.508098
