Benchmarks,IPC
600.perlbench_s-570B,0.634318
602.gcc_s-1850B,0.328934
602.gcc_s-2226B,0.383793
602.gcc_s-734B,0.401318
603.bwaves_s-1740B,0.960242
603.bwaves_s-2609B,0.96019
603.bwaves_s-2931B,1.14045
603.bwaves_s-891B,0.652029
605.mcf_s-1152B,0.251403
605.mcf_s-1536B,0.275666
605.mcf_s-1554B,0.342364
605.mcf_s-1644B,0.152629
605.mcf_s-472B,0.333842
605.mcf_s-484B,0.370438
605.mcf_s-665B,0.257576
605.mcf_s-782B,0.174813
605.mcf_s-994B,0.201842
607.cactuBSSN_s-2421B,0.907392
607.cactuBSSN_s-3477B,0.895429
607.cactuBSSN_s-4004B,0.916646
619.lbm_s-2676B,0.573215
619.lbm_s-2677B,0.498864
619.lbm_s-3766B,0.984417
619.lbm_s-4268B,0.499259
620.omnetpp_s-141B,0.20575
620.omnetpp_s-874B,0.218479
621.wrf_s-6673B,0.856124
621.wrf_s-8065B,0.955484
623.xalancbmk_s-10B,0.288722
623.xalancbmk_s-165B,0.660885
623.xalancbmk_s-202B,0.597636
628.pop2_s-17B,0.786337
641.leela_s-1083B,0.333384
649.fotonik3d_s-10881B,0.604311
649.fotonik3d_s-1176B,1.00193
649.fotonik3d_s-7084B,0.983522
649.fotonik3d_s-8225B,1.00187
654.roms_s-1007B,0.550726
654.roms_s-1070B,0.886033
654.roms_s-1390B,0.740316
654.roms_s-1613B,0.571154
654.roms_s-293B,1.03454
654.roms_s-294B,1.04416
654.roms_s-523B,0.855633
657.xz_s-2302B,0.507555
