Benchmarks,IPC
600.perlbench_s-570B,0.634318
602.gcc_s-1850B,0.328971
602.gcc_s-2226B,0.384062
602.gcc_s-734B,0.40135
603.bwaves_s-1740B,0.960249
603.bwaves_s-2609B,0.960258
603.bwaves_s-2931B,1.14028
603.bwaves_s-891B,0.65185
605.mcf_s-1152B,0.25016
605.mcf_s-1536B,0.271455
605.mcf_s-1554B,0.283288
605.mcf_s-1644B,0.145522
605.mcf_s-472B,0.312155
605.mcf_s-484B,0.369429
605.mcf_s-665B,0.257306
605.mcf_s-782B,0.17941
605.mcf_s-994B,0.201252
607.cactuBSSN_s-2421B,0.909605
607.cactuBSSN_s-3477B,0.896002
607.cactuBSSN_s-4004B,0.916854
619.lbm_s-2676B,0.557391
619.lbm_s-2677B,0.482206
619.lbm_s-3766B,0.979055
619.lbm_s-4268B,0.483793
620.omnetpp_s-141B,0.20259
620.omnetpp_s-874B,0.216651
621.wrf_s-6673B,0.852713
621.wrf_s-8065B,0.954112
623.xalancbmk_s-10B,0.263566
623.xalancbmk_s-165B,0.660521
623.xalancbmk_s-202B,0.599143
628.pop2_s-17B,0.787939
641.leela_s-1083B,0.333386
649.fotonik3d_s-10881B,0.591699
649.fotonik3d_s-1176B,1.00195
649.fotonik3d_s-7084B,0.983261
649.fotonik3d_s-8225B,1.00185
654.roms_s-1007B,0.55069
654.roms_s-1070B,0.887303
654.roms_s-1390B,0.736424
654.roms_s-1613B,0.571184
654.roms_s-293B,1.03387
654.roms_s-294B,1.04203
654.roms_s-523B,0.855152
657.xz_s-2302B,0.510131
