benchmark,early,late,useless,filled,issued,requested
client_001,29039,1334,142639,169614,140438,140438
client_002,6844,224,39768,45222,120864,120864
client_003,10165,274,35880,46096,65431,65431
client_004,18931,864,57466,75557,166759,166759
client_005,14012,779,79242,93463,138558,138558
client_006,25673,10027,221118,247645,584080,586537
client_007,16785,563,71643,89895,515771,515771
client_008,42967,4250,134367,177895,869566,869566
server_001,47170,4410,129514,175947,342604,342604
server_003,52357,3185,158836,211297,328483,328483
server_004,55511,4317,179610,235144,343458,343458
server_009,69197,5492,200345,270332,424370,424370
server_010,75267,6491,220154,295324,458048,458048
server_011,77023,6110,230397,307405,466636,466657
server_012,73129,6084,214377,287468,454316,454316
server_013,78444,6467,228388,306796,463706,463706
server_014,1399,1245,17063,16520,26943,26985
server_016,11811,1216,62482,74290,248969,248969
server_017,55697,2784,426337,482038,692836,692838
server_018,56183,2789,559525,614997,539133,539134
server_019,54663,2840,421700,476425,699375,699375
server_020,63991,3413,568184,632352,396015,396016
server_021,60787,3272,503499,564726,372866,372866
server_022,54642,2835,420872,475545,697686,697686
server_023,23864,2620,130419,154382,544043,544043
server_024,26291,2380,128898,155207,533741,533741
server_025,24520,2155,126006,150509,613218,613218
server_026,31778,2464,131880,163719,603944,603944
server_027,25731,3441,115138,140797,601353,601353
server_028,29191,5206,245643,274877,1020001,1020001
server_029,30750,5549,233067,263969,1027560,1027560
server_030,28826,3185,209655,238849,1050061,1050061
server_031,19404,4034,123991,143042,724685,724685
server_032,10271,1626,80586,90855,720922,720922
server_033,49925,1598,80334,130550,550391,550391
server_034,19510,588,41777,61070,554241,554241
server_035,50330,4331,77278,127488,553588,553588
server_037,33346,688,61243,94522,305681,305681
server_038,35776,588,61525,97301,316698,316698
