benchmarks,IPC
client_001,0.624732
client_002,0.664543
client_003,0.656752
client_004,0.526396
client_005,0.603585
client_006,0.583933
client_007,0.607733
client_008,0.494901
server_001,0.599456
server_003,0.462698
server_004,0.421053
server_009,0.462563
server_010,0.498507
server_011,0.479799
server_012,0.494966
server_013,0.489357
server_014,0.610512
server_016,0.543924
server_017,0.40953
server_018,0.394265
server_019,0.415742
server_020,0.416015
server_021,0.434662
server_022,0.427296
server_023,0.434985
server_024,0.434162
server_025,0.410137
server_026,0.414199
server_027,0.412736
server_028,0.414781
server_029,0.411812
server_030,0.411496
server_031,0.411343
server_032,0.418242
server_033,0.497788
server_034,0.498751
server_035,0.471088
server_037,0.560351
server_038,0.557974
