benchmarks,IPC
client_001,0.627649
client_002,0.664066
client_003,0.659283
client_004,0.529965
client_005,0.604097
client_006,0.585757
client_007,0.607406
client_008,0.495959
server_001,0.615242
server_003,0.462912
server_004,0.423389
server_009,0.468229
server_010,0.500147
server_011,0.483477
server_012,0.496381
server_013,0.491219
server_014,0.610539
server_016,0.544186
server_017,0.425254
server_018,0.40524
server_019,0.432272
server_020,0.440155
server_021,0.451711
server_022,0.442657
server_023,0.435169
server_024,0.434234
server_025,0.410611
server_026,0.413946
server_027,0.412786
server_028,0.415124
server_029,0.412384
server_030,0.411224
server_031,0.411573
server_032,0.417824
server_033,0.497099
server_034,0.499014
server_035,0.471776
server_037,0.560432
server_038,0.557901
