benchmarks,IPC
client_001,0.624634
client_002,0.66231
client_003,0.655101
client_004,0.526018
client_005,0.601532
client_006,0.582611
client_007,0.607808
client_008,0.494413
server_001,0.59906
server_003,0.460677
server_004,0.411027
server_009,0.458664
server_010,0.483484
server_011,0.468496
server_012,0.488742
server_013,0.475247
server_014,0.610373
server_016,0.539875
server_017,0.408322
server_018,0.395158
server_019,0.414873
server_020,0.420818
server_021,0.432904
server_022,0.426694
server_023,0.429982
server_024,0.42856
server_025,0.40379
server_026,0.406532
server_027,0.407399
server_028,0.405817
server_029,0.401049
server_030,0.402631
server_031,0.402353
server_032,0.405098
server_033,0.496281
server_034,0.497323
server_035,0.470157
server_037,0.55936
server_038,0.557137
