benchmarks,IPC
client_001,0.620665
client_002,0.662028
client_003,0.649049
client_004,0.522706
client_005,0.597741
client_006,0.580655
client_007,0.60624
client_008,0.49458
server_001,0.585588
server_003,0.456077
server_004,0.410545
server_009,0.45768
server_010,0.48292
server_011,0.468826
server_012,0.487437
server_013,0.474002
server_014,0.610595
server_016,0.539909
server_017,0.408717
server_018,0.390646
server_019,0.415709
server_020,0.420547
server_021,0.433375
server_022,0.428954
server_023,0.429878
server_024,0.428526
server_025,0.40364
server_026,0.40635
server_027,0.407345
server_028,0.406455
server_029,0.401672
server_030,0.402854
server_031,0.403082
server_032,0.405161
server_033,0.495796
server_034,0.497448
server_035,0.469892
server_037,0.559508
server_038,0.557293
