benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,1275,67,2551,3866,164130,164130
602.gcc_s-1850B,1071822,6507,223151,1294971,7210516,7210532
602.gcc_s-2226B,3386653,29990,308313,3695001,9946704,9946783
602.gcc_s-734B,767741,228,120517,888301,2462761,2462841
603.bwaves_s-1740B,925306,1994,4245,929538,34751389,49428023
603.bwaves_s-2609B,925621,2031,4052,929677,34848121,49498334
603.bwaves_s-2931B,498934,0,2482,501414,5035012,5095434
603.bwaves_s-891B,1136496,3819,28,1136507,2359390,2359390
605.mcf_s-1152B,658287,126896,1811307,2469572,8812114,8812286
605.mcf_s-1536B,94563,9427,2372134,2466664,6169494,6169494
605.mcf_s-1554B,4065667,1774059,4502816,8568480,39465455,44286855
605.mcf_s-1644B,1119185,59807,1099513,2218713,5284984,5284984
605.mcf_s-472B,748424,611716,1405236,2153667,13477691,13479698
605.mcf_s-484B,352651,186307,698790,1051309,12467821,12467900
605.mcf_s-665B,504861,67266,1382368,1887194,7528087,7528087
605.mcf_s-782B,1644446,693520,4864539,6508990,16688675,16688719
605.mcf_s-994B,238553,173361,1351019,1589641,7486118,7486118
607.cactuBSSN_s-2421B,2376,3,23103,25528,57382,57382
607.cactuBSSN_s-3477B,1839,0,4896,6737,13732,13732
607.cactuBSSN_s-4004B,2131,0,3730,5859,11730,11730
619.lbm_s-2676B,357107,26947,0,357102,1044285,1061519
619.lbm_s-2677B,391290,37350,0,391301,1213560,1237229
619.lbm_s-3766B,259369,1257,0,259363,556868,557068
619.lbm_s-4268B,391242,37615,0,391243,1214310,1238010
620.omnetpp_s-141B,108809,11142,672411,781188,4362813,4362814
620.omnetpp_s-874B,112191,12782,682411,794661,4501963,4501967
621.wrf_s-6673B,974017,23635,133832,1107858,14028228,16037671
621.wrf_s-8065B,483482,2612,142848,626354,5912147,6507517
623.xalancbmk_s-10B,205749,53173,886148,1092039,3643111,3643124
623.xalancbmk_s-165B,902813,13862,92777,995602,3587182,3589753
623.xalancbmk_s-202B,1197203,13871,108149,1305350,3691624,3694250
628.pop2_s-17B,684266,3756,216728,900989,10107519,10656129
641.leela_s-1083B,56715,1982,38609,95240,2064969,2064969
649.fotonik3d_s-10881B,682327,17396,467923,1150231,5345186,5347347
649.fotonik3d_s-1176B,639767,4045,3118,642883,1319856,1319856
649.fotonik3d_s-7084B,804315,149,57530,861815,12897350,13184233
649.fotonik3d_s-8225B,639795,4057,2992,642787,1319942,1319942
654.roms_s-1007B,284892,2501,17446,302339,4222094,4222713
654.roms_s-1070B,708544,11528,34496,743035,5028534,5239328
654.roms_s-1390B,1168097,25749,71465,1239573,7128285,8041405
654.roms_s-1613B,125081,2607,8878,133946,2601807,2602335
654.roms_s-293B,369695,299,13161,382873,2958266,2972703
654.roms_s-294B,599299,272,55333,654645,9098042,9846158
654.roms_s-523B,905978,10113,56915,962891,5314269,5357936
657.xz_s-2302B,45267,808,333783,379043,2563719,2563719
