benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,103,4,898,3104,1025,1025
602.gcc_s-1850B,7330,51,904106,911451,4328239,4328377
602.gcc_s-2226B,12388,255,3634526,3646917,7534760,7534790
602.gcc_s-734B,5263,35,456515,462349,4005831,4009030
603.bwaves_s-1740B,26444,689,879478,905726,4530669,4909311
603.bwaves_s-2609B,26175,692,879864,905840,4529256,4910681
603.bwaves_s-2931B,17485,1,418204,437135,2581186,2635028
603.bwaves_s-891B,0,0,1140325,1140341,4699194,5764951
605.mcf_s-1152B,114796,4295,1959496,2074542,1346516,1346551
605.mcf_s-1536B,72593,0,1528760,1600909,0,0
605.mcf_s-1554B,11454,232,10334788,10345297,176521,176521
605.mcf_s-1644B,54899,2167,1987794,2042750,2376786,2376786
605.mcf_s-472B,17312,241,2563965,2581384,919347,919347
605.mcf_s-484B,18932,56,1018190,1037698,362024,362024
605.mcf_s-665B,105269,2683,1222982,1328533,978056,978056
605.mcf_s-782B,236153,30417,6540156,6776148,4373574,4373605
605.mcf_s-994B,23006,4,1259447,1282065,306167,306167
607.cactuBSSN_s-2421B,222009,63,7071,229149,2511573,2541332
607.cactuBSSN_s-3477B,183398,1,791,184216,2296313,2334995
607.cactuBSSN_s-4004B,181300,0,764,182091,2285966,2320482
619.lbm_s-2676B,65351,9280,384321,449400,842452,842488
619.lbm_s-2677B,84441,13285,428790,513089,958680,958709
619.lbm_s-3766B,860,109,260762,261480,521819,521819
619.lbm_s-4268B,84008,13378,428936,512865,956043,956082
620.omnetpp_s-141B,34014,843,567736,601784,95368,95368
620.omnetpp_s-874B,42630,703,575956,618669,85617,85617
621.wrf_s-6673B,46080,4015,907908,953134,4874658,5094055
621.wrf_s-8065B,25544,116,419219,445231,2069129,2260768
623.xalancbmk_s-10B,11743,487,1069806,1082273,40226,40226
623.xalancbmk_s-165B,1986,112,1005498,1007532,2116886,2132227
623.xalancbmk_s-202B,1932,0,1282870,1284893,2178308,2178326
628.pop2_s-17B,34638,873,445787,480290,4248420,4359684
641.leela_s-1083B,611,1,1890,4744,105289,105289
649.fotonik3d_s-10881B,471,0,1159733,1160194,1676,1676
649.fotonik3d_s-1176B,2318,11,430236,431955,3304842,3305020
649.fotonik3d_s-7084B,575,9,856910,857486,4432443,4448541
649.fotonik3d_s-8225B,2527,14,438717,441004,3305412,3305449
654.roms_s-1007B,224,143,318581,319286,1431669,1441854
654.roms_s-1070B,2983,487,784261,787344,3331332,3466600
654.roms_s-1390B,17204,754,1187791,1204647,5307371,5461926
654.roms_s-1613B,196,118,142598,143618,604414,604423
654.roms_s-293B,971,29,291259,293292,1927768,1951713
654.roms_s-294B,33286,67,680523,713566,3058292,3249310
654.roms_s-523B,971,379,1018868,1019888,4604935,4625473
657.xz_s-2302B,17761,8,188574,206453,7502,7502
