Benchmarks,IPC
600.perlbench_s-570B,0.634256
602.gcc_s-1850B,0.327654
602.gcc_s-2226B,0.382276
602.gcc_s-734B,0.400844
603.bwaves_s-1740B,0.757099
603.bwaves_s-2609B,0.758863
603.bwaves_s-2931B,1.11041
603.bwaves_s-891B,0.650083
605.mcf_s-1152B,0.241672
605.mcf_s-1536B,0.277516
605.mcf_s-1554B,0.279774
605.mcf_s-1644B,0.152799
605.mcf_s-472B,0.300108
605.mcf_s-484B,0.362875
605.mcf_s-665B,0.252868
605.mcf_s-782B,0.167983
605.mcf_s-994B,0.20248
607.cactuBSSN_s-2421B,0.903893
607.cactuBSSN_s-3477B,0.891415
607.cactuBSSN_s-4004B,0.911933
619.lbm_s-2676B,0.578717
619.lbm_s-2677B,0.505449
619.lbm_s-3766B,0.989055
619.lbm_s-4268B,0.504215
620.omnetpp_s-141B,0.202058
620.omnetpp_s-874B,0.215214
621.wrf_s-6673B,0.805511
621.wrf_s-8065B,0.955707
623.xalancbmk_s-10B,0.257874
623.xalancbmk_s-165B,0.653553
623.xalancbmk_s-202B,0.58257
628.pop2_s-17B,0.786233
641.leela_s-1083B,0.33331
649.fotonik3d_s-10881B,0.603636
649.fotonik3d_s-1176B,1.00194
649.fotonik3d_s-7084B,0.966413
649.fotonik3d_s-8225B,1.00187
654.roms_s-1007B,0.548163
654.roms_s-1070B,0.858872
654.roms_s-1390B,0.607519
654.roms_s-1613B,0.570941
654.roms_s-293B,1.03139
654.roms_s-294B,1.04471
654.roms_s-523B,0.843046
657.xz_s-2302B,0.506218
