Benchmarks,IPC
600.perlbench_s-570B,0.634315
602.gcc_s-1850B,0.328929
602.gcc_s-2226B,0.383834
602.gcc_s-734B,0.401273
603.bwaves_s-1740B,0.960138
603.bwaves_s-2609B,0.960131
603.bwaves_s-2931B,1.14062
603.bwaves_s-891B,0.651996
605.mcf_s-1152B,0.249648
605.mcf_s-1536B,0.308805
605.mcf_s-1554B,0.291854
605.mcf_s-1644B,0.152938
605.mcf_s-472B,0.313099
605.mcf_s-484B,0.371059
605.mcf_s-665B,0.255705
605.mcf_s-782B,0.175387
605.mcf_s-994B,0.202795
607.cactuBSSN_s-2421B,0.908743
607.cactuBSSN_s-3477B,0.895823
607.cactuBSSN_s-4004B,0.916919
619.lbm_s-2676B,0.593049
619.lbm_s-2677B,0.518377
619.lbm_s-3766B,0.989552
619.lbm_s-4268B,0.517435
620.omnetpp_s-141B,0.202236
620.omnetpp_s-874B,0.215517
621.wrf_s-6673B,0.85585
621.wrf_s-8065B,0.959773
623.xalancbmk_s-10B,0.268276
623.xalancbmk_s-165B,0.662866
623.xalancbmk_s-202B,0.597414
628.pop2_s-17B,0.787829
641.leela_s-1083B,0.333381
649.fotonik3d_s-10881B,0.610905
649.fotonik3d_s-1176B,1.00196
649.fotonik3d_s-7084B,0.983718
649.fotonik3d_s-8225B,1.00199
654.roms_s-1007B,0.550777
654.roms_s-1070B,0.88806
654.roms_s-1390B,0.745373
654.roms_s-1613B,0.571176
654.roms_s-293B,1.03204
654.roms_s-294B,1.04481
654.roms_s-523B,0.85537
657.xz_s-2302B,0.508968
