Benchmarks,IPC
600.perlbench_s-570B,0.634319
602.gcc_s-1850B,0.328934
602.gcc_s-2226B,0.383783
602.gcc_s-734B,0.401288
603.bwaves_s-1740B,0.960167
603.bwaves_s-2609B,0.960102
603.bwaves_s-2931B,1.14067
603.bwaves_s-891B,0.651986
605.mcf_s-1152B,0.246359
605.mcf_s-1536B,0.275925
605.mcf_s-1554B,0.281407
605.mcf_s-1644B,0.152504
605.mcf_s-472B,0.313163
605.mcf_s-484B,0.371178
605.mcf_s-665B,0.25669
605.mcf_s-782B,0.168035
605.mcf_s-994B,0.202818
607.cactuBSSN_s-2421B,0.90832
607.cactuBSSN_s-3477B,0.895708
607.cactuBSSN_s-4004B,0.916952
619.lbm_s-2676B,0.594137
619.lbm_s-2677B,0.519393
619.lbm_s-3766B,0.98935
619.lbm_s-4268B,0.5181
620.omnetpp_s-141B,0.202151
620.omnetpp_s-874B,0.215565
621.wrf_s-6673B,0.855892
621.wrf_s-8065B,0.959671
623.xalancbmk_s-10B,0.258813
623.xalancbmk_s-165B,0.659961
623.xalancbmk_s-202B,0.596314
628.pop2_s-17B,0.787948
641.leela_s-1083B,0.333382
649.fotonik3d_s-10881B,0.610688
649.fotonik3d_s-1176B,1.00173
649.fotonik3d_s-7084B,0.983777
649.fotonik3d_s-8225B,1.00183
654.roms_s-1007B,0.550768
654.roms_s-1070B,0.887991
654.roms_s-1390B,0.745407
654.roms_s-1613B,0.571154
654.roms_s-293B,1.03202
654.roms_s-294B,1.04474
654.roms_s-523B,0.855502
657.xz_s-2302B,0.506655
