Benchmarks,IPC
600.perlbench_s-570B,0.634318
602.gcc_s-1850B,0.328976
602.gcc_s-2226B,0.384071
602.gcc_s-734B,0.401355
603.bwaves_s-1740B,0.96023
603.bwaves_s-2609B,0.9602
603.bwaves_s-2931B,1.14042
603.bwaves_s-891B,0.652021
605.mcf_s-1152B,0.249323
605.mcf_s-1536B,0.274943
605.mcf_s-1554B,0.368053
605.mcf_s-1644B,0.154758
605.mcf_s-472B,0.341272
605.mcf_s-484B,0.372369
605.mcf_s-665B,0.256483
605.mcf_s-782B,0.179104
605.mcf_s-994B,0.201073
607.cactuBSSN_s-2421B,0.907893
607.cactuBSSN_s-3477B,0.895301
607.cactuBSSN_s-4004B,0.916348
619.lbm_s-2676B,0.573209
619.lbm_s-2677B,0.49884
619.lbm_s-3766B,0.983986
619.lbm_s-4268B,0.499331
620.omnetpp_s-141B,0.204848
620.omnetpp_s-874B,0.217583
621.wrf_s-6673B,0.853575
621.wrf_s-8065B,0.954119
623.xalancbmk_s-10B,0.284278
623.xalancbmk_s-165B,0.673403
623.xalancbmk_s-202B,0.600762
628.pop2_s-17B,0.786986
641.leela_s-1083B,0.333384
649.fotonik3d_s-10881B,0.601947
649.fotonik3d_s-1176B,1.00194
649.fotonik3d_s-7084B,0.983527
649.fotonik3d_s-8225B,1.00188
654.roms_s-1007B,0.550744
654.roms_s-1070B,0.885977
654.roms_s-1390B,0.741497
654.roms_s-1613B,0.571135
654.roms_s-293B,1.03432
654.roms_s-294B,1.04175
654.roms_s-523B,0.855093
657.xz_s-2302B,0.508471
