benchmarks,IPC
600.perlbench_s-570B,0.634262
602.gcc_s-1850B,0.32878
602.gcc_s-2226B,0.383228
602.gcc_s-734B,0.400973
603.bwaves_s-1740B,0.757808
603.bwaves_s-2609B,0.759503
603.bwaves_s-2931B,1.10913
603.bwaves_s-891B,0.650185
605.mcf_s-1152B,0.246129
605.mcf_s-1536B,0.308891
605.mcf_s-1554B,0.289322
605.mcf_s-1644B,0.1529
605.mcf_s-472B,0.312663
605.mcf_s-484B,0.370247
605.mcf_s-665B,0.254831
605.mcf_s-782B,0.173719
605.mcf_s-994B,0.202561
607.cactuBSSN_s-2421B,0.903901
607.cactuBSSN_s-3477B,0.890883
607.cactuBSSN_s-4004B,0.912049
619.lbm_s-2676B,0.577909
619.lbm_s-2677B,0.504732
619.lbm_s-3766B,0.98867
619.lbm_s-4268B,0.503672
620.omnetpp_s-141B,0.202188
620.omnetpp_s-874B,0.215473
621.wrf_s-6673B,0.830732
621.wrf_s-8065B,0.965133
623.xalancbmk_s-10B,0.258688
623.xalancbmk_s-165B,0.668939
623.xalancbmk_s-202B,0.584406
628.pop2_s-17B,0.786665
641.leela_s-1083B,0.333283
649.fotonik3d_s-10881B,0.617693
649.fotonik3d_s-1176B,1.00196
649.fotonik3d_s-7084B,0.966715
649.fotonik3d_s-8225B,1.00199
654.roms_s-1007B,0.550767
654.roms_s-1070B,0.876353
654.roms_s-1390B,0.708011
654.roms_s-1613B,0.571162
654.roms_s-293B,1.03142
654.roms_s-294B,1.04605
654.roms_s-523B,0.848092
657.xz_s-2302B,0.508372
