benchmarks,IPC
600.perlbench_s-570B,0.634261
602.gcc_s-1850B,0.328798
602.gcc_s-2226B,0.383364
602.gcc_s-734B,0.401036
603.bwaves_s-1740B,0.757633
603.bwaves_s-2609B,0.75932
603.bwaves_s-2931B,1.10745
603.bwaves_s-891B,0.650073
605.mcf_s-1152B,0.251419
605.mcf_s-1536B,0.308211
605.mcf_s-1554B,0.366564
605.mcf_s-1644B,0.15538
605.mcf_s-472B,0.327383
605.mcf_s-484B,0.371641
605.mcf_s-665B,0.257265
605.mcf_s-782B,0.181334
605.mcf_s-994B,0.200343
607.cactuBSSN_s-2421B,0.902642
607.cactuBSSN_s-3477B,0.890098
607.cactuBSSN_s-4004B,0.911029
619.lbm_s-2676B,0.55383
619.lbm_s-2677B,0.482085
619.lbm_s-3766B,0.981468
619.lbm_s-4268B,0.482414
620.omnetpp_s-141B,0.205086
620.omnetpp_s-874B,0.2179
621.wrf_s-6673B,0.828052
621.wrf_s-8065B,0.960992
623.xalancbmk_s-10B,0.287443
623.xalancbmk_s-165B,0.671844
623.xalancbmk_s-202B,0.591206
628.pop2_s-17B,0.785486
641.leela_s-1083B,0.333279
649.fotonik3d_s-10881B,0.606818
649.fotonik3d_s-1176B,1.00193
649.fotonik3d_s-7084B,0.966161
649.fotonik3d_s-8225B,1.00197
654.roms_s-1007B,0.550788
654.roms_s-1070B,0.874668
654.roms_s-1390B,0.702519
654.roms_s-1613B,0.571154
654.roms_s-293B,1.03368
654.roms_s-294B,1.04437
654.roms_s-523B,0.848131
657.xz_s-2302B,0.510041
