benchmarks,IPC
600.perlbench_s-570B,0.634306
602.gcc_s-1850B,0.328931
602.gcc_s-2226B,0.383997
602.gcc_s-734B,0.401251
603.bwaves_s-1740B,0.960149
603.bwaves_s-2609B,0.960201
603.bwaves_s-2931B,1.14044
603.bwaves_s-891B,0.651964
605.mcf_s-1152B,0.245936
605.mcf_s-1536B,0.27639
605.mcf_s-1554B,0.280104
605.mcf_s-1644B,0.152471
605.mcf_s-472B,0.313823
605.mcf_s-484B,0.371368
605.mcf_s-665B,0.256355
605.mcf_s-782B,0.167855
605.mcf_s-994B,0.202863
607.cactuBSSN_s-2421B,0.906996
607.cactuBSSN_s-3477B,0.894417
607.cactuBSSN_s-4004B,0.915316
619.lbm_s-2676B,0.594283
619.lbm_s-2677B,0.519548
619.lbm_s-3766B,0.989405
619.lbm_s-4268B,0.518168
620.omnetpp_s-141B,0.202313
620.omnetpp_s-874B,0.215621
621.wrf_s-6673B,0.855431
621.wrf_s-8065B,0.957943
623.xalancbmk_s-10B,0.258804
623.xalancbmk_s-165B,0.660132
623.xalancbmk_s-202B,0.5963
628.pop2_s-17B,0.787131
641.leela_s-1083B,0.333363
649.fotonik3d_s-10881B,0.610611
649.fotonik3d_s-1176B,1.0018
649.fotonik3d_s-7084B,0.983662
649.fotonik3d_s-8225B,1.00186
654.roms_s-1007B,0.550781
654.roms_s-1070B,0.887875
654.roms_s-1390B,0.745544
654.roms_s-1613B,0.571178
654.roms_s-293B,1.0321
654.roms_s-294B,1.04475
654.roms_s-523B,0.855924
657.xz_s-2302B,0.506714
