benchmarks,IPC
600.perlbench_s-570B,0.634306
602.gcc_s-1850B,0.328949
602.gcc_s-2226B,0.384138
602.gcc_s-734B,0.401327
603.bwaves_s-1740B,0.960115
603.bwaves_s-2609B,0.960206
603.bwaves_s-2931B,1.14005
603.bwaves_s-891B,0.651654
605.mcf_s-1152B,0.252072
605.mcf_s-1536B,0.270526
605.mcf_s-1554B,0.281951
605.mcf_s-1644B,0.146102
605.mcf_s-472B,0.312542
605.mcf_s-484B,0.369694
605.mcf_s-665B,0.259442
605.mcf_s-782B,0.179541
605.mcf_s-994B,0.201091
607.cactuBSSN_s-2421B,0.906338
607.cactuBSSN_s-3477B,0.893953
607.cactuBSSN_s-4004B,0.914672
619.lbm_s-2676B,0.555871
619.lbm_s-2677B,0.480214
619.lbm_s-3766B,0.979063
619.lbm_s-4268B,0.481628
620.omnetpp_s-141B,0.203053
620.omnetpp_s-874B,0.217204
621.wrf_s-6673B,0.85126
621.wrf_s-8065B,0.951939
623.xalancbmk_s-10B,0.262909
623.xalancbmk_s-165B,0.66049
623.xalancbmk_s-202B,0.599169
628.pop2_s-17B,0.787039
641.leela_s-1083B,0.333363
649.fotonik3d_s-10881B,0.591838
649.fotonik3d_s-1176B,1.00179
649.fotonik3d_s-7084B,0.983209
649.fotonik3d_s-8225B,1.00182
654.roms_s-1007B,0.550696
654.roms_s-1070B,0.885684
654.roms_s-1390B,0.7351
654.roms_s-1613B,0.571159
654.roms_s-293B,1.03398
654.roms_s-294B,1.04233
654.roms_s-523B,0.8547
657.xz_s-2302B,0.510536
