benchmark,early,late,useless,filled,issued,requested
client_001,7494,765,115,7612,416859,417071
client_002,2246,420,116,2354,136235,136235
client_003,1400,60,39,1439,52012,52012
client_004,839,16,38,877,116267,116267
client_005,1763,1157,87,1852,157419,157426
client_006,17421,47042,954,18313,2073730,2084063
client_007,822,301,134,983,581704,581704
client_008,2729,1849,261,3011,621792,621792
server_001,40398,3292,1941,42356,989239,996026
server_003,4558,856,307,4864,326098,326113
server_004,4908,1439,508,5417,806805,806807
server_009,8011,1096,825,8841,826737,826748
server_010,9105,1064,939,10051,524781,524785
server_011,10532,1424,954,11475,530128,530134
server_012,9085,1036,911,9987,502604,502618
server_013,10350,1319,883,11229,533433,533439
server_014,1859,5561,14,1873,120564,121876
server_016,1444,2136,328,1770,394753,394753
server_017,169295,16668,3040,172336,2873638,2873720
server_018,160626,15528,3714,164332,2734879,2734974
server_019,170956,17333,2802,173764,3117558,3117601
server_020,169240,16495,2960,172200,2916354,2916432
server_021,172637,16633,2696,175334,3097648,3097818
server_022,173107,16847,2698,175796,3124190,3124360
server_023,2478,5348,622,3102,784414,784414
server_024,2295,3261,720,3023,796074,796082
server_025,1541,1503,160,1703,616494,616494
server_026,2377,4955,714,3108,698652,698652
server_027,2244,2285,187,2432,605890,605890
server_028,1294,4659,1162,2486,1850840,1850840
server_029,1978,2085,1204,3229,1924020,1924027
server_030,1158,6294,1353,2548,2001979,2001980
server_031,961,442,952,1924,1078078,1078078
server_032,1102,757,879,2196,815915,815915
server_033,1078,246,517,1604,457202,457202
server_034,238,214,133,387,408165,408165
server_035,1654,564,488,2128,489826,489826
server_037,3637,894,411,4070,454841,455300
server_038,4148,976,379,4539,474888,475245
