benchmark,early,late,useless,filled,issued,requested
client_001,7516,736,117,7634,416720,416972
client_002,2006,674,133,2131,137477,137477
client_003,1420,39,38,1459,52963,52963
client_004,820,18,43,863,115307,115307
client_005,1912,999,85,2000,158694,158699
client_006,17290,48121,959,18183,2105621,2113063
client_007,875,243,152,1052,582481,582481
client_008,4332,696,277,4632,629789,629789
server_001,40205,3370,1955,42172,985725,992206
server_003,4613,871,305,4917,328546,328561
server_004,5190,1203,518,5709,869575,869576
server_009,8204,1036,816,9026,831550,831562
server_010,9271,1073,971,10245,516465,516473
server_011,10662,1437,950,11602,533524,533535
server_012,8997,999,873,9863,504684,504697
server_013,10141,1266,840,10975,529858,529863
server_014,1669,3629,12,1681,114765,116739
server_016,354,2584,326,678,390857,390857
server_017,185470,678,3006,188474,2886925,2887060
server_018,176332,589,3581,179903,2807288,2807442
server_019,187688,816,2827,190521,3097679,3097721
server_020,185291,640,2939,188225,2924251,2924371
server_021,188361,776,2696,191056,3094952,3095097
server_022,189316,720,2791,192101,3103957,3104143
server_023,787,5948,633,1419,795230,795260
server_024,587,3864,763,1356,793160,793172
server_025,307,1976,141,453,621097,621097
server_026,1031,5314,704,1745,689610,689610
server_027,628,2825,192,821,602419,602419
server_028,1305,4626,1178,2516,1844932,1844938
server_029,1988,2025,1179,3222,1932348,1932348
server_030,1149,6256,1365,2551,2002113,2002115
server_031,1066,377,977,2061,1106503,1106504
server_032,1257,696,2493,4041,804922,804922
server_033,1119,237,483,1609,459840,459840
server_034,228,211,124,375,406223,406223
server_035,1758,437,496,2236,498471,498471
server_037,3876,701,403,4297,447832,448271
server_038,4329,803,387,4731,474336,474672
