benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,14,4,1,16,3156,3156
602.gcc_s-1850B,487289,133412,1031,488310,8923508,8926006
602.gcc_s-2226B,731109,1781315,8062,739180,34786966,34871898
602.gcc_s-734B,264231,1195,1129,265352,6758555,6787022
603.bwaves_s-1740B,392316,113375,0,392314,2715782,3709134
603.bwaves_s-2609B,394241,113230,0,394245,2719044,3720322
603.bwaves_s-2931B,288846,699,61,288896,2916532,3165810
603.bwaves_s-891B,699294,84145,23,699317,6805941,7913189
605.mcf_s-1152B,73738,111131,15817,89592,3068936,3069012
605.mcf_s-1536B,2882,146,19616,22508,1293026,1293026
605.mcf_s-1554B,789894,21488,21133,811034,15762152,15765540
605.mcf_s-1644B,376469,97498,7139,383608,8517982,8518589
605.mcf_s-472B,272744,8082,6929,279681,5322707,5323254
605.mcf_s-484B,132698,10695,3415,136113,2402627,2402740
605.mcf_s-665B,63254,73307,12480,75756,2035824,2035842
605.mcf_s-782B,218163,406953,56866,275070,11982110,11982396
605.mcf_s-994B,11769,5616,5154,16926,1075881,1075881
607.cactuBSSN_s-2421B,37388,1869,1174,38519,4192052,4456458
607.cactuBSSN_s-3477B,11416,549,316,11705,3704048,3868182
607.cactuBSSN_s-4004B,12353,540,519,12695,4139441,4473593
619.lbm_s-2676B,116129,106220,1,116130,3193405,3193405
619.lbm_s-2677B,130585,129026,0,130585,3616882,3616882
619.lbm_s-3766B,71548,45253,0,71547,2045503,2045504
619.lbm_s-4268B,133582,131167,4,133586,3644148,3644148
620.omnetpp_s-141B,417,224,271,694,368143,368143
620.omnetpp_s-874B,533,372,351,885,366570,366570
621.wrf_s-6673B,396503,91919,3787,400285,5308702,5977970
621.wrf_s-8065B,266839,70547,3121,269947,3839328,4303716
623.xalancbmk_s-10B,10434,13893,4007,14422,1048262,1048262
623.xalancbmk_s-165B,154643,137804,1784,156438,4401222,4401231
623.xalancbmk_s-202B,260351,151871,538,260888,9151334,9151775
628.pop2_s-17B,110333,18390,3830,114171,3248160,3404423
641.leela_s-1083B,502,885,15,557,89820,89820
649.fotonik3d_s-10881B,308196,4010,2001,310205,2511855,2661800
649.fotonik3d_s-1176B,237697,72800,63,237759,6457994,6765412
649.fotonik3d_s-7084B,500237,14264,16052,516288,4411872,4605135
649.fotonik3d_s-8225B,243250,72644,80,243329,6450013,6774428
654.roms_s-1007B,176238,21786,1990,178222,2028734,2209610
654.roms_s-1070B,458564,51231,4251,462816,4814206,5364947
654.roms_s-1390B,617748,140649,8357,626097,9157305,9605886
654.roms_s-1613B,67465,16727,927,68397,1117548,1134294
654.roms_s-293B,159084,7803,1315,160414,2184431,2339317
654.roms_s-294B,403134,4524,6489,409632,2651556,3206342
654.roms_s-523B,538359,90351,6633,544992,7015104,7479503
657.xz_s-2302B,1632,5,57,1679,28132,28132
