benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,19,2,1,22,3159,3159
602.gcc_s-1850B,508066,112495,1015,509072,8929520,8931999
602.gcc_s-2226B,1578910,933462,8078,1586996,34767352,34851829
602.gcc_s-734B,264544,975,1112,265644,6726369,6754024
603.bwaves_s-1740B,406453,104975,0,406456,2735694,3743170
603.bwaves_s-2609B,405924,105334,0,405926,2736871,3742896
603.bwaves_s-2931B,298145,18,28,298174,2997075,3294066
603.bwaves_s-891B,775521,5529,19,775540,6743174,7780105
605.mcf_s-1152B,76723,109558,15976,92730,3068903,3068985
605.mcf_s-1536B,2624,155,11052,13690,1221945,1221945
605.mcf_s-1554B,857788,43005,21062,878859,18226902,18236356
605.mcf_s-1644B,402081,91643,7007,409089,8782501,8783113
605.mcf_s-472B,289044,7211,6961,295999,5776070,5777186
605.mcf_s-484B,142224,5573,3239,145449,2528507,2528927
605.mcf_s-665B,64634,73137,12831,77529,2049425,2049452
605.mcf_s-782B,234836,390342,56963,291835,12086027,12086481
605.mcf_s-994B,12815,5342,5200,18028,1100074,1100074
607.cactuBSSN_s-2421B,37282,1858,1054,38262,4155955,4395102
607.cactuBSSN_s-3477B,11438,559,312,11728,3706164,3870790
607.cactuBSSN_s-4004B,12407,567,524,12750,4106692,4419727
619.lbm_s-2676B,84530,65951,2,84532,3238292,3238292
619.lbm_s-2677B,99517,78455,0,99518,3663121,3663132
619.lbm_s-3766B,56652,31207,0,56651,2390958,2390958
619.lbm_s-4268B,99594,79537,3,99598,3663333,3663333
620.omnetpp_s-141B,467,202,302,770,365632,365632
620.omnetpp_s-874B,532,386,324,858,366255,366255
621.wrf_s-6673B,450266,50454,3896,454162,5749268,6435570
621.wrf_s-8065B,199420,14932,2300,201718,3142858,3399899
623.xalancbmk_s-10B,13970,9053,4068,18034,1058594,1058594
623.xalancbmk_s-165B,199908,91855,1661,201579,4511064,4511066
623.xalancbmk_s-202B,281694,129900,521,282216,9137163,9137739
628.pop2_s-17B,120225,11116,3879,124108,3266001,3416081
641.leela_s-1083B,1028,363,13,1090,88584,88584
649.fotonik3d_s-10881B,310374,2175,2051,312423,2508347,2659116
649.fotonik3d_s-1176B,305112,5573,76,305187,6468224,6757731
649.fotonik3d_s-7084B,517786,23,16158,533947,4583106,4726794
649.fotonik3d_s-8225B,310343,5453,72,310415,6468580,6771112
654.roms_s-1007B,200836,4637,2115,202949,2069921,2250335
654.roms_s-1070B,487991,19078,4193,492184,4768022,5298201
654.roms_s-1390B,731413,33298,8137,739543,8787515,9361895
654.roms_s-1613B,86733,4679,973,87715,1158413,1169540
654.roms_s-293B,178357,248,1407,179752,2445758,2580044
654.roms_s-294B,408626,193,6434,415068,2697600,3237329
654.roms_s-523B,646347,15913,6727,653075,7342357,7866597
657.xz_s-2302B,1639,0,33,1670,29339,29339
