Benchmarks,Miss
600.perlbench_s-570B,3146
602.gcc_s-1850B,25706
602.gcc_s-2226B,105033
602.gcc_s-734B,18116
603.bwaves_s-1740B,127696
603.bwaves_s-2609B,127552
603.bwaves_s-2931B,10477
603.bwaves_s-891B,35134
605.mcf_s-1152B,381933
605.mcf_s-1536B,1019766
605.mcf_s-1554B,4048545
605.mcf_s-1644B,368325
605.mcf_s-472B,1506458
605.mcf_s-484B,514377
605.mcf_s-665B,280309
605.mcf_s-782B,1991103
605.mcf_s-994B,748787
607.cactuBSSN_s-2421B,30149
607.cactuBSSN_s-3477B,23815
607.cactuBSSN_s-4004B,21793
619.lbm_s-2676B,78217
619.lbm_s-2677B,105019
619.lbm_s-3766B,10414
619.lbm_s-4268B,105060
620.omnetpp_s-141B,421864
620.omnetpp_s-874B,369858
621.wrf_s-6673B,73160
621.wrf_s-8065B,26072
623.xalancbmk_s-10B,1028748
623.xalancbmk_s-165B,129607
623.xalancbmk_s-202B,65370
628.pop2_s-17B,10579
641.leela_s-1083B,1059
649.fotonik3d_s-10881B,244277
649.fotonik3d_s-1176B,12303
649.fotonik3d_s-7084B,18439
649.fotonik3d_s-8225B,12194
654.roms_s-1007B,13081
654.roms_s-1070B,33630
654.roms_s-1390B,49403
654.roms_s-1613B,6766
654.roms_s-293B,6634
654.roms_s-294B,54518
654.roms_s-523B,41032
657.xz_s-2302B,71798
