Benchmarks,MPKI
600.perlbench_s-570B,1.44198
602.gcc_s-1850B,18.0654
602.gcc_s-2226B,72.8465
602.gcc_s-734B,12.1381
603.bwaves_s-1740B,19.0409
603.bwaves_s-2609B,19.0407
603.bwaves_s-2931B,13.6592
603.bwaves_s-891B,15.6158
605.mcf_s-1152B,21.314
605.mcf_s-1536B,26.0902
605.mcf_s-1554B,171.498
605.mcf_s-1644B,92.4223
605.mcf_s-472B,56.2406
605.mcf_s-484B,33.929
605.mcf_s-665B,13.7017
605.mcf_s-782B,84.7279
605.mcf_s-994B,18.3925
607.cactuBSSN_s-2421B,7.62608
607.cactuBSSN_s-3477B,2.60972
607.cactuBSSN_s-4004B,2.7412
619.lbm_s-2676B,33.2354
619.lbm_s-2677B,47.7687
619.lbm_s-3766B,21.5673
619.lbm_s-4268B,47.6064
620.omnetpp_s-141B,14.413
620.omnetpp_s-874B,12.7627
621.wrf_s-6673B,25.1262
621.wrf_s-8065B,6.97806
623.xalancbmk_s-10B,33.0147
623.xalancbmk_s-165B,17.468
623.xalancbmk_s-202B,21.7703
628.pop2_s-17B,3.41498
641.leela_s-1083B,0.05548
649.fotonik3d_s-10881B,20.6502
649.fotonik3d_s-1176B,8.80522
649.fotonik3d_s-7084B,17.4373
649.fotonik3d_s-8225B,8.83902
654.roms_s-1007B,5.16304
654.roms_s-1070B,22.4989
654.roms_s-1390B,18.6742
654.roms_s-1613B,1.23492
654.roms_s-293B,7.08416
654.roms_s-294B,11.5483
654.roms_s-523B,20.5819
657.xz_s-2302B,1.86382
